entry_dt,exit_dt,direction,entry_price,exit_price,pnl,mfe_usd,mae_usd,bars_held,mins_held,exit_signal,year,month,dow,entry_hour,is_win
2026-03-11 13:55:00,2026-03-11 14:30:00,SHORT,24952.25,24964.0,-24.74,124.0,-27.5,7,35,EMA Break Exit,2026,2026-03,Wednesday,13,False
2026-03-12 10:00:00,2026-03-12 11:40:00,SHORT,24719.25,24688.25,60.76,316.5,-61.5,20,100,EMA Break Exit,2026,2026-03,Thursday,10,True
2026-03-13 10:00:00,2026-03-13 10:05:00,LONG,24711.5,24685.75,-52.74,47.0,-67.0,1,5,EMA Cross Stop,2026,2026-03,Friday,10,False
2026-03-13 10:55:00,2026-03-13 13:15:00,SHORT,24491.0,24459.75,61.26,210.0,-157.0,28,140,EMA Break Exit,2026,2026-03,Friday,10,True
2026-03-13 13:50:00,2026-03-13 14:30:00,SHORT,24377.0,24433.75,-114.74,30.0,-137.0,8,40,EMA Break Exit,2026,2026-03,Friday,13,False
2026-03-16 11:25:00,2026-03-16 11:55:00,LONG,24715.75,24675.5,-81.74,48.0,-95.0,6,30,EMA Break Exit,2026,2026-03,Monday,11,False
2026-03-16 12:20:00,2026-03-16 12:45:00,SHORT,24630.5,24675.5,-91.24,26.5,-121.0,5,25,EMA Break Exit,2026,2026-03,Monday,12,False
2026-03-17 10:35:00,2026-03-17 11:05:00,LONG,24829.25,24802.75,-54.24,87.0,-53.5,6,30,EMA Break Exit,2026,2026-03,Tuesday,10,False
2026-03-18 10:30:00,2026-03-18 11:00:00,SHORT,24618.75,24671.75,-107.24,31.0,-146.5,6,30,EMA Break Exit,2026,2026-03,Wednesday,10,False
2026-03-18 12:45:00,2026-03-18 13:40:00,SHORT,24636.0,24632.5,5.76,116.0,-42.5,11,55,EMA Break Exit,2026,2026-03,Wednesday,12,True
2026-03-19 11:05:00,2026-03-19 11:20:00,LONG,24320.5,24248.0,-146.24,61.0,-152.5,3,15,EMA Break Exit,2026,2026-03,Thursday,11,False
2026-03-19 11:35:00,2026-03-19 12:00:00,SHORT,24215.25,24278.25,-127.24,55.5,-177.0,5,25,EMA Break Exit,2026,2026-03,Thursday,11,False
2026-03-20 10:00:00,2026-03-20 11:10:00,SHORT,24296.25,24304.75,-18.24,129.5,-65.0,14,70,Time Stop,2026,2026-03,Friday,10,False
2026-03-20 12:45:00,2026-03-20 15:55:00,SHORT,24254.5,24114.25,279.26,567.5,-91.0,38,190,EOD Close,2026,2026-03,Friday,12,True
